ALGORITHM,               INIT_STATE,            GOAL_STATE,       PATH_LENGTH,     STATE_EXPANSIONS,  MAX_QLENGTH,  RUNNING_TIME,  DELETIONS_MIDDLE_HEAP, LOCAL_LOOPS_AVOIDED, ATTEMPTED_REEXPANSIONS,   PATH
  uniform_cost_search          ,120483765          ,123456780          ,6             ,82               ,17           ,0.000000             ,35                    ,0               ,0                   ,DDLURD
  uniform_cost_search          ,208135467          ,123456780          ,15            ,7422             ,1666         ,0.123000             ,2933                  ,0               ,0                   ,DRULDDRULULDDRR
  uniform_cost_search          ,704851632          ,123456780          ,19            ,39414            ,7412         ,4.324000             ,15631                 ,0               ,0                   ,RDDLLUURRDDLLUURRDD
  uniform_cost_search          ,536407182          ,123456780          ,24            ,233576           ,22860        ,138.744995           ,91693                 ,0               ,0                   ,DRULLDRULDRRUULDLURDLDRR
  uniform_cost_search          ,638541720          ,123456780          ,28            ,381290           ,13330        ,324.416992           ,150621                ,0               ,0                   ,UULDRDLULURRDDLUURDLLURRDLDR
 astar_misplacedtiles          ,120483765          ,123456780          ,6             ,29               ,9            ,0.000000             ,10                    ,0               ,0                   ,DDLURD
 astar_misplacedtiles          ,208135467          ,123456780          ,15            ,540              ,123          ,0.001000             ,215                   ,0               ,0                   ,DRULDDRULULDDRR
 astar_misplacedtiles          ,704851632          ,123456780          ,19            ,3037             ,609          ,0.024000             ,1263                  ,0               ,0                   ,RDDLLUURRDDLLUURRDD
 astar_misplacedtiles          ,536407182          ,123456780          ,24            ,36997            ,6739         ,3.816000             ,14878                 ,0               ,0                   ,DRULLDRULDRRUULDLURDLDRR
 astar_misplacedtiles          ,638541720          ,123456780          ,28            ,96921            ,14737        ,27.247999            ,38668                 ,0               ,0                   ,ULDRUULDLURDLDRRULLDRUULDDRR
      astar_manhattan          ,120483765          ,123456780          ,6             ,17               ,5            ,0.000000             ,6                     ,0               ,0                   ,DDLURD
      astar_manhattan          ,208135467          ,123456780          ,15            ,129              ,30           ,0.000000             ,51                    ,0               ,0                   ,DRULDDRULULDDRR
      astar_manhattan          ,704851632          ,123456780          ,19            ,48               ,9            ,0.000000             ,20                    ,0               ,0                   ,RDDLLUURRDDLLUURRDD
      astar_manhattan          ,536407182          ,123456780          ,26            ,8390             ,1791         ,0.166000             ,3314                  ,0               ,0                   ,RDLURULLDDRULURDDLUURDLDRR
      astar_manhattan          ,638541720          ,123456780          ,28            ,7693             ,1674         ,0.153000             ,3049                  ,0               ,0                   ,UULDRDLULURRDDLUURDLLURRDLDR
